2020-04-19 17:04:962 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:655 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (4e4e47982bb605c495bb36964d3a1be3)] -> id: txtUsername]
2020-04-19 17:04:996 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (4e4e47982bb605c495bb36964d3a1be3)] -> id: txtPassword]
2020-04-19 17:04:537 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:830 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:632 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (383ee8266b863276cd698621edae50cf)] -> id: txtUsername]
2020-04-19 17:04:35 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (383ee8266b863276cd698621edae50cf)] -> id: txtPassword]
2020-04-19 17:04:634 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:519 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:279 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (f111d6a6196abd2e87373bff94fc65bd)] -> id: txtUsername]
2020-04-19 17:04:533 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (f111d6a6196abd2e87373bff94fc65bd)] -> id: txtPassword]
2020-04-19 17:04:821 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:190 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:654 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (d659b4007d54d00ab55ed13236fa38a3)] -> id: txtUsername]
2020-04-19 17:04:14 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (d659b4007d54d00ab55ed13236fa38a3)] -> id: txtPassword]
2020-04-19 17:04:432 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:483 INFO  WelcomeAdminPage :34 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (d659b4007d54d00ab55ed13236fa38a3)] -> xpath: //a[@id='welcome']]
2020-04-19 17:04:407 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:505 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (6dd5aeb0329710c641f693e5a6ee4369)] -> id: txtUsername]
2020-04-19 17:04:740 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (6dd5aeb0329710c641f693e5a6ee4369)] -> id: txtPassword]
2020-04-19 17:04:303 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:897 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 17:04:863 INFO  HomePage :52 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (8ab73e77a9d188119054b8688a1749ab)] -> id: txtUsername]
2020-04-19 17:04:160 INFO  HomePage :58 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (8ab73e77a9d188119054b8688a1749ab)] -> id: txtPassword]
2020-04-19 17:04:678 INFO  HomePage :63 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-19 17:04:739 INFO  WelcomeAdminPage :34 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (8ab73e77a9d188119054b8688a1749ab)] -> xpath: //a[@id='welcome']]
2020-04-19 17:04:195 INFO  BrowserSelector :21 - Launching Chrome Browser
